,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкус,"Продажи, шт","Продажи, руб","Продажи, тонн","Себест., руб"
55,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Лейз Малосольные огурчики с укропом 140г,Lays Малосольные огурчики с укропом 140г,140,Огурцы малосольные и укроп,13277,2138562.7016000003,1.8587800000000003,1457411.8299999998
56,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Лейз Нежная Моцарелла с Песто 70г,Lays Нежная моцарелла с песто 70г,70,Сыр и песто,3914,385594.1084999999,0.27398000000000006,246335.68
57,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Лейз Пряная Креветка 90г,Lays риф. Пряная креветка 90г,90,Креветки,6523,778053.7752000006,0.5870700000000001,469386.87999999995
58,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Лейз Сырное ассорти с мёдом 90г,Lays Сырное ассорти с медом 90г,90,Сыр и мед,6546,657553.7433000003,0.5891400000000001,471065.44000000006
59,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Лейз Том Ям по-тайски 125г,Lays риф. Том Ям по тайски 125г,125,Том Ям,5180,770485.5048,0.6475000000000004,567690.83
60,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы Lay's со вкусом'Ароматные драники' 125г,Lays Ароматные драники 125г,125,Драники,3774,747858.1691999997,0.4717500000000001,409625.9799999998
61,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы Lay's со вкусом'Дижонская горчица' 125г,Lays Дижонская горчица 125г,125,Горчица,995,125213.78719999999,0.124375,108107.22999999998
62,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные  Lay's краб 70г,Lays Краб 70г,70,Краб,16316,1321147.5986999995,1.14212,1024186.8900000004
63,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные  Lay's молодой зеленый лук 70г,Lays Молодой зеленый лук 70г,70,Лук,11913,968434.1911000003,0.8339099999999997,749068.75
64,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные  Lay's натуральные 70г,Lays Оригинальные 70г,70,Оригинальные,11887,966569.8424000002,0.8320899999999999,744749.15
65,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные  Lay's сметана-лук 70г,Lays Сметана и лук 70г,70,Сметана и лук,13322,1084147.7961000002,0.93254,835389.0600000003
66,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные  Lay's Со вкусом шашлыка 70г,Lays Шашлык 70г,70,Шашлык,1,83.99,7e-05,63.54
67,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные  Lay's сыр 70г,Lays Сыр 70г,70,Сыр,8431,691348.0354,0.5901700000000001,529019.3099999998
68,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные  Lay'sсметана-зелень 70г,Lays Сметана и зелень 70г,70,Сметана и зелень,17321,1411637.3807999995,1.21247,1086750.4700000007
69,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Краб 140г,Lays Краб 140г,140,Краб,11441,1643218.4612000005,1.60174,1253993.5900000003
70,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Краб 225г,Lays Краб 225г,225,Краб,5852,1256890.9929999998,1.3167,922404.87
71,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Краб 37г,Lays Краб 37г,37,Краб,1812,118885.43020000006,0.06704399999999998,72905.97
72,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Молодой зеленый лук 140г,Lays Молодой зеленый лук 140г,140,Лук,12687,1836215.2260000003,1.7761799999999996,1389955.0099999998
73,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Молодой зеленый лук 37г,Lays Молодой зеленый лук 37г,37,Лук,1851,123167.71329999997,0.06848699999999998,74487.87
74,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Натуральный 140г,Lays Оригинальные 140г,140,Оригинальные,10779,1558213.1799999997,1.5090599999999998,1179704.0999999996
75,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Ребра на Гриле 140г,Lays Ребрышки гриль 140г,140,Ребрышки гриль,7641,1110213.1168000004,1.0697400000000001,838012.26
76,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's с солью 225г,Lays Соль 225г,225,Соль,4371,929406.2431000001,0.9834750000000002,680624.7100000001
77,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Сметана Зелень 37г,Lays Сметана и зелень 37г,37,Сметана и зелень,2430,160658.6466,0.08991000000000002,97678.74000000003
78,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Сметана/зелень 225г,Lays Сметана и зелень 225г,225,Сметана и зелень,5840,1249088.5972000002,1.3139999999999998,918928.6100000001
79,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Сметана/лук 225г,Lays Сметана и лук 225г,225,Сметана и лук,8722,1865855.3059,1.96245,1372932.0099999995
80,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Сметана-Зелень 140г,Lays Сметана и зелень 140г,140,Сметана и зелень,11634,1674439.7847,1.62876,1272393.9899999998
81,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Сметана-Лук 140г,Lays Сметана и лук 140г,140,Сметана и лук,16441,2387688.9307999997,2.30174,1796894.3000000003
82,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Сыр 140г,Lays Сыр 140г,140,Сыр,13085,1912454.5370999998,1.8319,1430078.0600000003
83,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Чипсы картофельные Lay's Шашлык 140г,Lays Шашлык 140г,140,Шашлык,5082,747997.1107000001,0.7114799999999997,557493.6
84,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Белпродукт ООО,Бульба,Бульба chips Чипсы из сырого картофеля со вкусом боровиков 75 г (25 шт.),Бульба Боровик 75г,75,Грибы Боровички,2373,187111.1973,0.177975,125518.09
85,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Белпродукт ООО,Бульба,Бульба chips Чипсы из сырого картофеля со вкусом деревенских копченостей 75 г (25 шт.),Бульба Деревеские копченности 75г,75,Копчености,2048,161001.173,0.1536,108308.42000000001
86,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Белпродукт ООО,Бульба,Бульба chips Чипсы из сырого картофеля со вкусом сметаны и лука 75 г (25 шт.),Бульба Сметана и лук 75г,75,Сметана и лук,1899,147543.42829999997,0.14242499999999994,100440.70000000003
87,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Белпродукт ООО,Бульба,Бульба chips Чипсы из сырого картофеля со вкусом сметаны и сыра 75 г (25 шт.),Бульба Сметана и сыр 75г,75,Сметана и сыр,1714,134993.0986,0.12855,90651.47
88,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Белпродукт ООО,Бульба,Чипсы картофельные обычные,Бульба Оригинальные 75г,75,Оригинальные,12,951.08,0.0009,634.69
89,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Лоренц,Crunchips X-Cut,Чипсы картофельные рифленые Crunchips X-Cut со вкусом африканской Чакалаки,Crunchips X-Cut риф. Африканская чакалака 70г,100,Чакалака,2826,249785.77069999996,0.2826000000000001,155520.41
90,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Лоренц,Crunchips X-Cut,Чипсы картофельные рифленые Crunchips. X-Cut со вкусом паприки 70г,Crunchips X-Cut риф. Паприка 70г,70,Паприка,1411,123613.7443,0.09876999999999998,77615.36
91,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Лоренц,Crunchips X-Cut,Чипсы картофельные рифленые Crunchips. X-Cut со вкусом сметаны и специй 70г,Crunchips X-Cut риф. Сметана и специи 70г,70,Сметана и специи,1328,116019.89199999999,0.09295999999999999,72540.54000000001
92,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Лоренц,Crunchips X-Cut,Чипсы картофельные рифленые Crunchips. X-Cut со вкусом сыра и лука 70г,Crunchips X-Cut риф. Сыр и лук 70г,70,Сыр и лук,1159,99250.0659,0.08113000000000002,63470.77
93,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом атлантического лосося в сливочном соусе 120г,Московский картофель риф. Антлантический лосось в слив. соусе 120г,120,Лосось и соус сливочный,3629,391367.1577,0.43548000000000014,213989.66999999995
94,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом белых грибов в сливочном соусе 120г,Московский картофель риф. Белые гибы в слив. соусе 120г,120,Грибы Белые и соус сливочный,4208,476038.4481000001,0.5049600000000001,248465.81000000003
95,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом маринованных огурцов 120г,Московский картофель риф. Маринованные огурцы 120г,120,Огурцы маринованные,3762,403895.33980000013,0.45143999999999995,221001.10999999996
96,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом паприки 120г,Московский картофель риф. Паприка 120г,120,Паприка,2587,277263.7620999999,0.31044,153096.30999999997
97,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом сыра пармезан 120г,Московский картофель риф Сыр пармезан 120г,120,Сыр,3686,396279.1898000001,0.44232000000000016,217454.01999999996
98,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. рифл со вкусом Томатного кетчупа 130г,Московский картофель риф. Томатный кетчуп 120г,130,Кетчуп,1,129.99,0.00013,81.96
